TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster
14.09,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,1
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,0
126.29,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,0
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,Online,Student,1
13.45,45.0,198.0,1.0,7429.4,Credit,Atlanta,Online,Student,2
92.15,18.0,172.0,1.0,781.68,Debit,Oklahoma City,ATM,Student,1
7.08,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,1
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,0
106.23,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,2
815.96,55.0,120.0,1.0,1021.88,Debit,Nashville,ATM,Doctor,0
17.78,52.0,59.0,1.0,7599.52,Credit,Albuquerque,Online,Engineer,2
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,0
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,0
781.76,26.0,123.0,1.0,189.69,Debit,Memphis,ATM,Student,0
166.99,18.0,134.0,1.0,299.93,Debit,Louisville,Online,Student,0
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,2
555.8,19.0,158.0,1.0,1131.26,Credit,Austin,Branch,Student,2
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,2
18.68,59.0,106.0,1.0,7948.37,Credit,Albuquerque,Branch,Retired,2
71.48,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,2
59.32,71.0,38.0,1.0,5750.89,Debit,Los Angeles,Branch,Retired,0
85.77,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,0
52.2,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,2
345.84,22.0,142.0,3.0,1402.5,Debit,Fort Worth,Online,Student,0
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,1
7.49,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,0
246.93,23.0,158.0,5.0,673.35,Debit,Miami,ATM,Student,0
40.32,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,0
127.45,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,0
56.17,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,2
28.31,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,0
59.12,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,2
396.45,49.0,168.0,3.0,9690.15,Debit,New York,ATM,Engineer,0
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,0
255.26,45.0,50.0,1.0,14815.87,Credit,San Francisco,Branch,Doctor,1
124.76,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,1
78.13,26.0,145.0,1.0,900.61,Debit,Milwaukee,Branch,Student,0
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,ATM,Retired,1
795.31,66.0,90.0,2.0,7914.88,Debit,Mesa,ATM,Doctor,0
335.63,55.0,216.0,1.0,1019.39,Debit,Oklahoma City,Online,Retired,1
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,1
34.02,38.0,19.0,1.0,14214.48,Debit,Philadelphia,Online,Doctor,1
241.42,57.0,116.0,1.0,13357.02,Credit,Charlotte,Online,Doctor,2
55.32,19.0,117.0,1.0,241.79,Debit,Tucson,ATM,Student,1
304.31,27.0,33.0,1.0,868.61,Debit,Louisville,Branch,Student,0
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,2
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,2
510.24,19.0,105.0,1.0,781.7,Debit,Oklahoma City,Online,Student,1
626.9,26.0,138.0,1.0,265.51,Debit,Denver,Online,Student,2
22.01,41.0,175.0,1.0,1335.09,Credit,Sacramento,Online,Engineer,1
425.34,69.0,121.0,1.0,3907.54,Credit,Kansas City,Online,Retired,0
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,1
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,1
169.5,28.0,142.0,1.0,918.88,Debit,San Diego,Branch,Student,1
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,1
316.95,25.0,83.0,1.0,1324.03,Debit,Mesa,Branch,Student,0
60.54,57.0,52.0,1.0,3534.93,Credit,Columbus,Branch,Retired,2
292.56,68.0,61.0,1.0,4638.37,Credit,Dallas,Branch,Retired,2
386.52,48.0,28.0,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,0
112.07,23.0,51.0,1.0,930.3,Debit,Kansas City,Branch,Student,0
568.52,46.0,152.0,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,0
263.99,79.0,227.0,2.0,4175.02,Debit,Dallas,Branch,Retired,2
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,1
5.77,50.0,124.0,1.0,13988.12,Debit,Charlotte,Online,Doctor,2
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,0
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,0
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,2
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,2
189.12,32.0,103.0,1.0,977.01,Credit,Indianapolis,None,Engineer,0
133.55,44.0,220.0,1.0,3846.28,Debit,Atlanta,ATM,Engineer,2
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,2
24.77,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,2
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,0
1212.51,20.0,24.0,1.0,605.95,Debit,Indianapolis,Branch,Student,0
232.12,37.0,51.0,1.0,6689.87,Debit,None,ATM,Engineer,1
211.36,22.0,113.0,1.0,634.17,Debit,Kansas City,Online,Student,0
91.53,44.0,69.0,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,0
120.29,19.0,77.0,1.0,1362.39,Debit,Miami,Branch,Student,0
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,1
183.71,38.0,102.0,1.0,552.52,Debit,Denver,ATM,Engineer,2
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,None,Engineer,1
922.55,63.0,87.0,1.0,4715.84,Debit,Detroit,ATM,Retired,2
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,2
154.71,34.0,157.0,1.0,1523.72,Debit,San Diego,Online,Doctor,1
1340.19,54.0,30.0,1.0,8654.28,Credit,Austin,Online,Engineer,2
24.56,64.0,69.0,1.0,9869.93,Debit,Mesa,Branch,Doctor,0
568.07,48.0,115.0,1.0,10556.81,None,Washington,ATM,Doctor,1
9.61,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,1
392.96,24.0,100.0,1.0,791.65,Debit,Kansas City,Online,Student,0
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,0
223.85,53.0,55.0,4.0,2929.91,Debit,Kansas City,ATM,Engineer,0
230.66,21.0,135.0,1.0,618.05,Debit,Houston,Branch,Student,0
442.12,19.0,260.0,1.0,1375.8,Debit,Los Angeles,Online,Student,0
644.17,29.0,72.0,1.0,1143.52,Debit,San Antonio,ATM,Engineer,1
508.68,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,0
858.63,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,1
25.36,57.0,78.0,1.0,201.04,Debit,Louisville,ATM,Engineer,0
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,2
115.02,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,1
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,0
98.54,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,2
83.24,55.0,164.0,1.0,1181.31,None,Fort Worth,Branch,Doctor,0
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,1
129.94,32.0,235.0,1.0,7954.92,Debit,Las Vegas,ATM,Engineer,0
306.9,46.0,51.0,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,2
114.98,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,1
